title,price,description,url
tentex royal,225.0,relief stress improves performance himalaya tentex royal increase energy improves performance and uplift mood,https://himalayawellness.in/products/tentex-royal
tentex forte,90.0,rejuvenate elevate your performance himalaya tentex forte help increase strength improves power and stamen,https://himalayawellness.in/products/tentex-forte
complete care toothpaste,55.0,healthy gum strong teeth fresh breath himalaya complete care toothpaste is an advanced herbal formulation that not only protects from germ but also ha antioxidant that help protect teeth against free radical and help maintain gum in good health,https://himalayawellness.in/products/complete-care-toothpaste
ayurveda clear skin soap,67.0,ayurvedic oil bath now in soap ayurveda clear skin soap ha unique formulation that nourishes skin and help improve the complexion,https://himalayawellness.in/products/ayurveda-clear-skin-soap
purifying neem face wash,205.0,clinically proven pimple free healthy skin expert himalaya purifying neem face wash is soap free formulation that clean impurity and help clear pimple,https://himalayawellness.in/products/purifying-neem-face-wash
dee cramp,45.0,quick dissolve quick relief relief from monthly cramp and discomfort dissolve in second doe not require water quick onset of action start acting in minute,https://himalayawellness.in/products/q-dee-cramps
himalaya ayurveda sandal glow soap,60.0,ayurveda based pure sandalwood oil in soap for nourished glowing skin,https://himalayawellness.in/products/himalaya-ayurveda-sandal-glow-soap
confido,170.0,give the confidence you need himalaya confido reduces anxiety improves performance and increase confidence,https://himalayawellness.in/products/confido
liv,190.0,unparalleled in liver care,https://himalayawellness.in/collections/all/products/liv-52-ds
partysmart capsule,80.0,the hangover prevention capsule experience hangover free morning with the goodness of herb partysmart is an herbal formulation that help prevents hangover it is clinically proven safe and effective when you consume alcohol it is broken down into acetaldehyde acetaldehyde is primarily responsible for hangover the build up of acetaldehyde in the liver lead to hangover or not so good morning himalaya partysmart help prevents hangover by preventing acetaldehyde build up in the liver leading to better morning alleviates the symptom of hangover such headache nausea drowsiness fatigue and body ache burning sensation in the stomach,https://himalayawellness.in/collections/all/products/partysmart-capsules
natural glow kesar face cream,100.0,nature goodness for naturally glowing face himalaya natural glow kesar face cream come with the goodness of kashmiri kesar,https://himalayawellness.in/collections/all/products/natural-glow-kesar-face-cream
pain balm strong,45.0,fast relief from pain naturally enriched with the goodness of indian winter green mint and chir pine oil,https://himalayawellness.in/collections/all/products/pain-balm-strong
triphala,180.0,relief constipation fact derived from ayurveda text and modern research triphala provides gentle pro kinetic effect on the bowel and help relieve long standing constipation,https://himalayawellness.in/collections/all/products/triphala
anti hair fall hair oil,140.0,promotes hair growth prevents hair fall himalaya anti hair fall hair oil help reduce hair fall and promotes hair growth,https://himalayawellness.in/collections/all/products/anti-hair-fall-hair-oil
sparkling white toothpaste,60.0,no chemical bleach himalaya sparkling white toothpaste is breakthrough herbal formulation based on plant enzyme technology that gently remove surface stain on your teeth,https://himalayawellness.in/collections/all/products/sparkling-white-toothpaste
arjuna,220.0,versatile cardioprotective fact derived from ayurveda text and modern research arjuna help in improving coronary artery blood flow reducing the chance of clot formation and protects the heart muscle,https://himalayawellness.in/collections/all/products/arjuna
baby powder,150.0,to keep cool and stay fresh himalaya baby powder is formulated with herbal ingredient which help keep baby skin cool and comfortable,https://himalayawellness.in/collections/all/products/baby-powder
brahmi,180.0,improves alertness fact derived from ayurveda text and modern research brahmi help calm the mind promote clarity of thought and memory consolidation,https://himalayawellness.in/collections/all/products/brahmi
kapikachhu,180.0,kapikachhu,https://himalayawellness.in/collections/all/products/kapikachhu
gentle baby shampoo,95.0,special care for nourished hair himalaya gentle baby shampoo is mild “no tear shampoo that gently clean hair making it soft shiny and easy to manage,https://himalayawellness.in/collections/all/products/gentle-baby-shampoo
septilin,180.0,build the body own defense mechanism,https://himalayawellness.in/collections/all/products/septilin
himalaya ayurveda gum care toothpaste,60.0,tightens gum strengthens teeth and remove plaque himalaya ayurveda gum care toothpaste is holistic herbal formulation based on the trusted practice of ayurveda dental care danta swasthya and modern science to remove plaque fight germ and help tighten gum it is enriched with ayurvedic herb for healthy gum this toothpaste is designed with unique ingredient vaikranta bhasma traditionally used natural source of fluoride which help strengthen teeth,https://himalayawellness.in/collections/all/products/himalaya-ayurveda-gum-care-toothpaste
anti dandruff shampoo,75.0,fight dandruff make hair healthy himalaya anti dandruff shampoo effectively fight dandruff and provides nourishment to the hair,https://himalayawellness.in/collections/all/products/anti-dandruff-shampoo
shatavari,200.0,promotes lactation fact derived from ayurveda text and modern research shatavari support lactating mother by improving prolactin hormone level ensuring optimum breastfeeding,https://himalayawellness.in/collections/all/products/shatavari
liv 52,150.0,unparalleled in liver care,https://himalayawellness.in/collections/all/products/liv-52
guduchi,165.0,strengthens immunity fact derived from ayurveda text and modern research guduchi help increase the effectiveness of protective white blood cell which fight infection,https://himalayawellness.in/collections/all/products/guduchi
almond rose soap,33.0,moisturizes and cool skin himalaya almond rose soap come with the goodness of almond and rose help leaf your skin feel soft,https://himalayawellness.in/collections/all/products/almond-rose-soap
himalaya moisturizing aloe vera face gel,85.0,moisturizing aloe vera face gel,https://himalayawellness.in/collections/all/products/himalaya-moisturizing-aloe-vera-face-gel
koflet sf lozenge,33.0,koflet sf lozenge is sugar free non sedating and soothing cough suppressant with the goodness of herbal active,https://himalayawellness.in/collections/all/products/koflet-sf-lozenge
quista pro chocolate,2950.0,advanced whey formula for next level result himalaya quista pro first of it kind whey protein packed with naturally rich amino acid bcaa that metabolize directly in the muscle,https://himalayawellness.in/collections/all/products/quista-pro-chocolate
natural shine henna,75.0,soft shiny and healthy hair himalaya natural shine henna is unique blend made with the purest quality of rajasthani henna,https://himalayawellness.in/collections/all/products/natural-shine-henna
baby lotion,165.0,natural moisturizer himalaya baby lotion help keep baby skin soft and supple,https://himalayawellness.in/collections/all/products/baby-lotion
ophthacare eye drop,70.0,for optimal eye care,https://himalayawellness.in/collections/all/products/ophthacare-eye-drops
gentle baby soap,55.0,especially for baby gentle skin himalaya gentle baby soap is formulated to gently cleanse and condition your baby skin leaving it soft and hydrated,https://himalayawellness.in/collections/all/products/gentle-baby-soap
footcare cream,55.0,moisturizes and soothes foot himalaya footcare cream care for your cracked heel and rough foot with natural ingredient,https://himalayawellness.in/collections/all/products/footcare-cream
rumalaya active spray,165.0,start relieving pain in minute,https://himalayawellness.in/collections/all/products/rumalaya-active-spray
abana,155.0,antihyperlipidaemic,https://himalayawellness.in/collections/all/products/abana
baby cream,150.0,loving layer of protection himalaya baby cream is specially formulated to protect your little one chapped cheek crawler knee tender nose and rubbed elbow,https://himalayawellness.in/collections/all/products/baby-cream
cucumber coconut soap,34.0,refreshes and rejuvenates skin himalaya cucumber coconut soap is ideal for rejuvenating and refreshing your skin,https://himalayawellness.in/collections/all/products/cucumber-coconut-soap
stain removal toothpaste,80.0,no chemical bleach himalaya stain removal toothpaste is an advanced herbal formulation that us plant enzyme technology,https://himalayawellness.in/collections/all/products/stain-removal-toothpaste
gentle daily care protein shampoo,75.0,clean gently make hair healthy himalaya gentle daily care protein shampoo ha mild formulation for those who lead an active life requiring frequent shampooing,https://himalayawellness.in/collections/all/products/gentle-daily-care-protein-shampoo
shallaki,180.0,reduces pain and inflammation fact derived from ayurveda text and modern research support the prevention of excessive joint wear and tear by inhibiting glycosaminoglycans degradation the structural element of joint cartilage supporting normal lubrication and shock absorbing essential for proper joint structure and function,https://himalayawellness.in/collections/all/products/shallaki
anti dandruff hair oil,125.0,control dandruff and revitalizes hair keep scalp healthy himalaya anti dandruff hair oil fight dandruff and nourishes the scalp and keep hair healthy,https://himalayawellness.in/collections/all/products/anti-dandruff-hair-oil
lip balm,40.0,nourishes lip himalaya lip balm designed with the time tested herb relief sore and chapped lip especially during the winter season,https://himalayawellness.in/collections/all/products/lip-balm
cold balm,125.0,relief nasal and chest congestion himalaya cold balm is soothing balm that relief nasal and chest congestion,https://himalayawellness.in/collections/all/products/cold-balm
himalaya natural glow kesar face gel,85.0,look beautiful glow naturally,https://himalayawellness.in/collections/all/products/himalaya-natural-glow-kesar-face-gel
honey cream soap,33.0,nourishes and moisturizes skin specially formulated soap for normal to dry skin honey cream soap nourishes softens your skin,https://himalayawellness.in/collections/all/products/honey-cream-soap
speman,180.0,speman,https://himalayawellness.in/collections/all/products/speman
himalaya clear complexion brightening mulethi face sheet mask,75.0,instantly hydrate for glowing skin himalaya clear complexion brightening mulethi face sheet mask is infused with special blend of hyaluronic acid that help with skin hydration plant based brightening active mulethi and indian lotus that contain skin conditioner that condition and soften rough skin this face sheet mask is the ultimate solution for beautiful radiant skin with natural glow instantly brightens to reveal glowing skin,https://himalayawellness.in/collections/all/products/himalaya-clear-complexion-brightening-mulethi-face-sheet-mask
antiseptic cream,45.0,multipurpose cream himalaya antiseptic cream is soothing cream enriched with nature goodness which accelerates the healing of injured skin,https://himalayawellness.in/collections/all/products/antiseptic-cream
koflet lozenge,20.0,provides the joy of relief,https://himalayawellness.in/collections/all/products/koflet-lozenges
punarnava,220.0,in ayurveda punarnava mean “that which rejuvenates or renews the body,https://himalayawellness.in/collections/all/products/punarnava
mentat,130.0,channelizes mental energy,https://himalayawellness.in/collections/all/products/mentat
lasuna,190.0,regulates cholesterol fact derived from ayurveda text and modern research lasuna lower the blood lipid level by modulating key enzyme in the liver responsible for cholesterol biosynthesis,https://himalayawellness.in/collections/all/products/lasuna
pimple clear cream,45.0,control pimple keep skin soft himalaya pimple clear cream effectively treat pimple and skin eruption,https://himalayawellness.in/collections/all/products/pimple-clear-cream
clear complexion brightening face wash,80.0,visibly brighter clearer and glowing skin himalaya clear complexion brightening face wash clean and clarifies impurity revealing clear radiant and even complexion,https://himalayawellness.in/collections/all/products/clear-complexion-brightening-face-wash
hadjod,190.0,strengthens bone fact derived from ayurveda text and modern research hadjod accelerates the healing of fracture by supporting the delicate healthy equilibrium between bone restoration and bone formation,https://himalayawellness.in/collections/all/products/hadjod
quista active,300.0,researched nutritional supplement for adult to keep you active and energized quista active is scientifically designed nutritional supplement for adult which combine ingredient that help improve nutritional status and keep adult fit and energized quista active contains ingredient that are known to help enhance energy and stamen support immunity and digestive health and promote bone and joint health among adult available in chocolate and milk masala flavor,https://himalayawellness.in/collections/all/products/quista-active
total care baby pant,950.0,total care and protection of baby skin himalaya total care baby pant are one step diaper solution specially designed for comfort protection and total care of baby skin,https://himalayawellness.in/collections/all/products/total-care-baby-pants
gentle baby wipe,200.0,simple smart wipe infused with the goodness of aloe vera and indian lotus extract,https://himalayawellness.in/collections/all/products/gentle-baby-wipes
baby massage oil,60.0,nurture growth and strengthens bond with your baby daily massage with himalaya baby massage oil help improve your baby growth and development,https://himalayawellness.in/collections/all/products/baby-massage-oil
moisturizing aloe vera face wash,210.0,cool and softens dry skin himalaya moisturizing aloe vera face wash is soap free formulation that take care of your skin after every wash unlike soap it gently clean without over drying the skin,https://himalayawellness.in/collections/all/products/moisturizing-aloe-vera-face-wash
purehands hand sanitizer,50.0,purehands hand sanitizer,https://himalayawellness.in/collections/all/products/purehands
methi,165.0,support healthy glucose metabolism and lipid level,https://himalayawellness.in/collections/all/products/methi
quista kidz,325.0,nutrition partner in your child healthy growing year child formative year are critical for rapid development in their physical cognitive and socio emotional domain quista kidz offer holistic approach to help achieve vital milestone in your child life this scientifically researched nutritional supplement is the amalgamation of traditional ingredient and vital nutrient that support your child overall development and well being,https://himalayawellness.in/collections/all/products/quista-kidz
anti wrinkle cream,270.0,reduces wrinkle fine line and skin roughness himalaya anti wrinkle cream is perfect solution for younger looking skin,https://himalayawellness.in/collections/all/products/anti-wrinkle-cream
gasex,145.0,improves digestion relief gaseous distension,https://himalayawellness.in/collections/all/products/gasex
nourishing skin cream,85.0,light non greasy himalaya nourishing skin cream is light non greasy daily use cream which provides all day moisturizing nourishment and protection against dryness,https://himalayawellness.in/collections/all/products/nourishing-skin-cream
himalaya pure hand tulsi lemon deep cleansing hand wash,50.0,leaf hand grease and odor free himalaya pure hand tulsi lemon deep cleansing hand wash is enriched with the goodness of tulsi,https://himalayawellness.in/collections/all/products/himalaya-pure-hands-tulsi-lemon-deep-cleansing-hand-wash
himalaya youth eternity face sheet mask,85.0,instantly hydrate for visibly plumper skin,https://himalayawellness.in/collections/all/products/himalaya-youth-eternity-face-sheet-mask
blackhead clearing walnut face scrub,150.0,remove dead skin cell and blackhead help stimulate cell renewal himalaya blackhead clearing walnut face scrub exfoliates dead skin to remove impurity that routine cleansing cannot tackle,https://himalayawellness.in/collections/all/products/blackhead-clearing-walnut-face-scrub
extra moisturizing baby soap,80.0,gently clean without causing post bath dryness himalaya extra moisturizing baby soap is designed to cleanse baby skin without causing post bath dryness and for use in winter indian aloe almond oil and olive oil are well known moisturizers which help prevent post bath dryness,https://himalayawellness.in/collections/all/products/extra-moisturizing-baby-soap
cocoa butter intensive body lotion,160.0,deeply moisturizes and repair dry skin,https://himalayawellness.in/collections/all/products/cocoa-butter-intensive-body-lotion
shigru,180.0,reduces joint stiffness fact derived from ayurveda text and modern research shigru target key enzyme that facilitate the release of pro inflammatory chemical in the joint to help suppress inflammation and pain,https://himalayawellness.in/collections/all/products/shigru
shuddha guggulu,250.0,regulates lipid fact derived from ayurveda text and modern research the key active ingredient in shuddha guggulu guggulsterones help regulate critical biochemical step in the liver and intestine that decrease cholesterol uptake,https://himalayawellness.in/collections/all/products/shuddha-guggulu
dee acidity,40.0,quick dissolve quick relief relief symptom of hyperacidity on the go dee acidity help ease the symptom associated with hyperacidity such heartburn and sour belching dissolve in second doe not require water quick onset of action start acting in minute,https://himalayawellness.in/collections/all/products/q-dee-acidity
koflet syrup,100.0,the cough reliever,https://himalayawellness.in/collections/all/products/koflet-syrup
neem,180.0,control acne fact derived from ayurveda text and modern research the herb help alleviate skin inflammation induced by acne causing bacteria,https://himalayawellness.in/collections/all/products/neem
rumalaya forte,165.0,rumalaya forte,https://himalayawellness.in/collections/all/products/rumalaya-forte
himalaya natural glow rose face wash,79.0,the goodness of rose to reveal your natural glow,https://himalayawellness.in/collections/all/products/himalaya-natural-glow-rose-face-wash
koflet lozenge,36.0,prompt relief honey rich lozenge,https://himalayawellness.in/collections/all/products/koflet-h-lozenges
damage repair protein shampoo,540.0,revives damaged hair make hair healthy himalaya damage repair protein shampoo is specially formulated for dry frizzy and damaged hair caused by blow drying and chemical,https://himalayawellness.in/collections/all/products/damage-repair-protein-shampoo
vasaka,165.0,effective respiratory care fact derived from ayurveda text and modern research vasaka soothes bronchial inflammation and open airway help phlegm discharge and relief chest congestion,https://himalayawellness.in/collections/all/products/vasaka
pilex tablet,150.0,the medical answer to surgical problem,https://himalayawellness.in/collections/all/products/pilex-tablets
himalaya germ free baby laundry wash,495.0,effectively remove germ tough stain and odor germ protection basis invitro lab study on indicative organism,https://himalayawellness.in/collections/all/products/himalaya-germ-free-baby-laundry-wash
quista dn,575.0,researched nutritional supplement for diabetic quista dn is nutritional supplement scientifically designed to benefit the dietary regimen of diabetic and prediabetic individual,https://himalayawellness.in/collections/all/products/quista-dn
himalaya fresh start oil clear blueberry face sheet mask,75.0,goodbye oily skin hello fresh face himalaya fresh start oil clear blueberry face sheet mask is infused with special blend of hyaluronic acid that help with skin hydration indian gooseberry that is known to reduce excess oil and hydration booster and blueberry fruit extract that condition and refresh skin this face sheet mask is the ultimate solution for an instant fresh and dewy glow kickstart your day with the confidence of an oil clear fresh look,https://himalayawellness.in/collections/all/products/himalaya-fresh-start-oil-clear-blueberry-face-sheet-mask
cherry shine lip care,160.0,naturally glossy soft and nourished lip himalaya cherry shine lip care is luxurious lip balm enriched with natural color and antioxidant such vitamin the sweet cherry oil and nourishing ingredient in the product help in caring for and protecting your lip from environmental damage and aid in enhancing natural lip color the lip balm moisture lock formula help keep your lip soft and supple,https://himalayawellness.in/collections/all/products/cherry-shine-lip-care
anti hair fall cream,100.0,reduces hair fall and promotes hair growth himalaya anti hair fall cream is unique daily use formula which help reduce hair fall and strengthens hair,https://himalayawellness.in/collections/all/products/anti-hair-fall-cream
bresol,165.0,the breathing solution,https://himalayawellness.in/collections/all/products/bresol
meshashringi,180.0,regulates carbohydrate metabolism fact derived from ayurveda text and modern research,https://himalayawellness.in/collections/all/products/meshashringi
winter defense moisturizing cream,90.0,for dry extra dry skin an effective blend of nourishing ingredient and herbal extract moisturizes even the extremely dry area of your skin,https://himalayawellness.in/collections/all/products/winter-defense-moisturizing-cream
vrikshamla,220.0,manages weight fact derived from ayurveda text and modern research vrikshamla help increase the availability of serotonin an important chemical that reduces overeating by inducing feeling of satiety,https://himalayawellness.in/collections/all/products/vrikshamla
amalaki,200.0,promotes health fact derived from ayurveda text and modern research amalaki help boost immunity by building the body natural defense system to fight infection,https://himalayawellness.in/collections/all/products/amalaki
baby hair oil,125.0,himalaya baby hair oil is specially formulated for baby enriched with amla gotukola and bhringaraja to nourish hair and make it soft and healthy,https://himalayawellness.in/collections/all/products/baby-hair-oil
dee immunity,45.0,quick dissolve quick relief dee immunity mouth dissolving tablet provide symptomatic relief from early onset of the symptom of flu such cough common cold sore throat and nasal congestion dissolve quickly doe not require water start working in minute,https://himalayawellness.in/collections/all/products/q-dee-immunity
natural glow kesar face wash,140.0,brightens and reveals glowing skin himalaya natural glow kesar face wash is soap free formulation that brightens and rejuvenates your skin giving it healthy natural glow,https://himalayawellness.in/collections/all/products/natural-glow-kesar-face-wash
active fresh gel,55.0,for fresh feel himalaya active fresh gel is packed with the goodness of herbal ingredient that ensure long lasting fresh breath,https://himalayawellness.in/collections/all/products/active-fresh-gel
himalaya fresh start oil clear strawberry face sheet mask,75.0,goodbye oily skin hello fresh face himalaya fresh start oil clear strawberry face sheet mask is infused with special blend of hyaluronic acid that help skin hydration indian gooseberry that is known to reduce excess oil and hydration booster and strawberry fruit extract that condition and refresh skin this face sheet mask is the ultimate solution for an instant fresh and dewy glow kickstart your day with the confidence of an oil clear fresh look,https://himalayawellness.in/collections/all/products/himalaya-fresh-start-oil-clear-strawberry-face-sheet-mask
clarina anti acne cream,120.0,clear acne effectively and safely,https://himalayawellness.in/collections/all/products/clarina-anti-acne-cream
tan removal orange peel off mask,75.0,remove impurity lightens skin tone from first use himalaya tan removal orange peel off mask is an effective blend of the natural skin lightening extract of orange peel and honey which help reduce skin tan from the very first use,https://himalayawellness.in/collections/all/products/tan-removal-orange-peel-off-mask
septilin syrup,160.0,build the body own defense mechanism,https://himalayawellness.in/collections/all/products/septilin-syrup
aactaril soap,85.0,medicated cleansing soap for bacterial and fungal skin infection soap play an important role in the treatment of skin infection aactaril is medicated soap designed for the effective management of common superficial bacterial and fungal infection of the skin,https://himalayawellness.in/collections/all/products/aactaril-soap
himplasia,195.0,himplasia,https://himalayawellness.in/collections/all/products/himplasia
rumalaya liniment,130.0,rumalaya liniment,https://himalayawellness.in/collections/all/products/rumalaya-liniment
stress relief massage oil,150.0,relief stress relaxes body himalaya stress relief massage oil help relieve stress and fatigue and relaxes the body,https://himalayawellness.in/collections/all/products/stress-relief-massage-oil
anti hair loss cream,375.0,the only side effect is hair growth himalaya anti hair loss cream promotes hair growth and control hair fall by stimulating the active phase of the hair growth cycle,https://himalayawellness.in/collections/all/products/anti-hair-loss-cream
tan removal orange face wash,149.0,effectively clean and visibly reduces tan himalaya tan removal orange face wash is unique formula that deeply clean skin and wash away tan,https://himalayawellness.in/collections/all/products/tan-removal-orange-face-wash
diaper rash cream,75.0,for happy baby bottom himalaya diaper rash cream promotes effective healing and soothes red irritated skin and form protective layer on baby skin,https://himalayawellness.in/collections/all/products/diaper-rash-cream
himcocid sf,115.0,the complete antacid beyond just relief,https://himalayawellness.in/collections/all/products/himcocid-sf
nourishing body lotion,300.0,hydra nutri balance himalaya nourishing body lotion the non greasy body lotion leaf skin feeling soft supple and toned,https://himalayawellness.in/collections/all/products/nourishing-body-lotion
bresol drop spray,50.0,breathing solution for dry and stuffy nose,https://himalayawellness.in/collections/all/products/bresol-ns-drops-spray
pilex forte ointment,95.0,pilex ointment is now pilex forte ointment the medical answer to surgical problem,https://himalayawellness.in/collections/all/products/pilex-forte-ointment
gentle daily care protein conditioner,90.0,nourishes hair keep hair healthy himalaya gentle daily care protein conditioner is gentle formulation that condition and keep your hair silky smooth soft and tangle free,https://himalayawellness.in/collections/all/products/gentle-daily-care-protein-conditioner
tan removal orange face scrub,150.0,gently scrub away tanned skin cell reveals glowing skin himalaya tan removal orange face scrub gently exfoliates smoothens and lightens tan from the very first use,https://himalayawellness.in/collections/all/products/tan-removal-orange-face-scrub
hiora toothpaste,80.0,for comprehensive management of sensitive teeth and gum,https://himalayawellness.in/collections/all/products/hiora-k-toothpaste
himalaya gentle baby wash,85.0,himalaya gentle baby wash,https://himalayawellness.in/collections/all/products/himalaya-gentle-baby-wash
deep cleansing apricot face wash,79.0,remove blackhead himalaya deep cleansing apricot face wash gently remove dead skin cell and unclogs pore to reveal softer and smoother skin,https://himalayawellness.in/collections/all/products/deep-cleansing-apricot-face-wash
cystone tablet,165.0,cystone tablet,https://himalayawellness.in/collections/all/products/cystone-tablets
purim,120.0,the natural therapy for healthy skin,https://himalayawellness.in/collections/all/products/purim
refreshing clarifying toner,95.0,refreshes clarifies keep skin oil free himalaya refreshing clarifying toner is made from blend of natural ingredient that remove excess oil and cleanse dead skin cell and impurity from the skin surface,https://himalayawellness.in/collections/all/products/refreshing-clarifying-toner
himalaya pure hand tulsi purifying hand wash,50.0,purifies keep hand clean and healthy himalaya pure hand tulsi purifying hand wash is enriched with the goodness of tulsi,https://himalayawellness.in/collections/all/products/himalaya-pure-hands-tulsi-purifying-hand-wash
himalaya active fresh mint mouthwash,115.0,mint freshness and long lasting fresh breath no alcohol no burning sensation himalaya active fresh mint mouthwash is infused with the goodness of mint and papaya it prevents the buildup of plaque and mouth odor to provide visibly whiter teeth healthier gum and fresh breath it remove up to of bacteria and give up to hour of protection from germ based on in vitro laboratory study,https://himalayawellness.in/collections/all/products/himalaya-active-fresh-mint-mouthwash
himalaya clear complexion brightening day cream,270.0,brightens skin with uv protection,https://himalayawellness.in/collections/all/products/himalaya-clear-complexion-brightening-day-cream
damage repair protein conditioner,165.0,deep condition and rejuvenates himalaya damage repair protein conditioner provides intensive conditioning for dry frizzy or damaged hair,https://himalayawellness.in/collections/all/products/damage-repair-protein-conditioner
protective sunscreen lotion,220.0,prevents skin darkening check premature ageing himalaya protective sunscreen lotion is double action formulation that protects you from harmful uv ray and at the same time nourishes your skin,https://himalayawellness.in/collections/all/products/protective-sunscreen-lotion
kajal,140.0,define your eye naturally himalaya kajal is formulated with traditional ingredient like damask rose and triphala almond oil and castor oil to cool soothe and nourish your eye,https://himalayawellness.in/collections/all/products/kajal
rumalaya gel,110.0,rumalaya gel,https://himalayawellness.in/collections/all/products/rumalaya-gel
digyton plus,210.0,digestive stimulant for adult pet digyton plus stimulates the secretion of enzyme in the stomach which aid the digestion of food,https://himalayawellness.in/collections/all/products/digyton-plus
shishu anand baby wipe,99.0,keep baby skin hydrated help in gentle cleaning of baby skin and diaper area,https://himalayawellness.in/collections/all/products/shishu-anand-baby-wipes
extra moisturizing baby lotion,100.0,intensely moisturizes baby delicate skin help keep baby skin soft and supple for longer,https://himalayawellness.in/collections/all/products/extra-moisturizing-baby-lotion
